sectorName,symbol,name,announced,eligibility_date,distribution_date,distribution_way,dividend_per_share
Capital Goods,1302,BAWAN,05/08/2021,19/08/2021,01/09/2021,تحويل للحساب,0.75
Capital Goods,1303,EIC,17/03/2022,20/04/2022,17/05/2022,تحويل للحساب,1
Capital Goods,1303,EIC,17/03/2021,26/04/2021,09/05/2021,تحويل للحساب,0.5
Capital Goods,1303,EIC,21/03/2018,13/05/2018,27/05/2018,تحويل للحساب,1
Capital Goods,1303,EIC,14/03/2017,25/04/2017,11/05/2017,تحويل للحساب,0.9
Capital Goods,1303,EIC,19/11/2015,30/11/2015,14/12/2015,تحويل للحساب,0.5
Capital Goods,2040,SAUDI CERAMICS,23/02/2023,14/03/2023,28/03/2023,تحويل للحساب,0.5
Capital Goods,2040,SAUDI CERAMICS,13/07/2022,01/08/2022,14/08/2022,تحويل للحساب,0.5
Capital Goods,2040,SAUDI CERAMICS,17/02/2022,21/02/2022,03/03/2022,تحويل للحساب,0.75
Capital Goods,2040,SAUDI CERAMICS,27/07/2021,01/08/2021,15/08/2021,تحويل للحساب,0.75
Capital Goods,2040,SAUDI CERAMICS,29/12/2016,19/04/2017,08/05/2017,تحويل للحساب,1
Capital Goods,2110,SAUDI CABLE,30/04/2011,07/06/2011,09/07/2011,تحويل للحساب,0.375
Capital Goods,2110,SAUDI CABLE,30/04/2011,07/06/2011,18/12/2011,تحويل للحساب,0.375
Capital Goods,2110,SAUDI CABLE,20/03/2010,24/04/2010,24/05/2010,تحويل للحساب,0.75
Capital Goods,2110,SAUDI CABLE,07/03/2009,16/04/2009,17/05/2009,تحويل للحساب,0.75
Capital Goods,2110,SAUDI CABLE,11/03/2008,09/04/2008,18/05/2008,تحويل للحساب,0.75
Capital Goods,2160,AMIANTIT,14/02/2016,04/04/2016,14/04/2016,تحويل للحساب,0.65
Capital Goods,2160,AMIANTIT,06/02/2014,20/03/2014,03/04/2014,تحويل للحساب,1
Capital Goods,2160,AMIANTIT,03/02/2013,09/03/2013,20/03/2013,تحويل للحساب,1
Capital Goods,2160,AMIANTIT,01/02/2012,29/02/2012,10/03/2012,تحويل للحساب,1.25
Capital Goods,2160,AMIANTIT,28/12/2010,27/02/2011,09/03/2011,تحويل للحساب,1.5
Capital Goods,2320,ALBABTAIN,02/04/2023,01/06/2023,19/06/2023,تحويل للحساب,0.5
Capital Goods,2320,ALBABTAIN,30/03/2022,08/05/2022,25/05/2022,تحويل للحساب,0.5
Capital Goods,2320,ALBABTAIN,31/12/2020,21/01/2021,09/02/2021,تحويل للحساب,1
Capital Goods,2320,ALBABTAIN,02/03/2020,09/03/2020,26/03/2020,تحويل للحساب,0.5
Capital Goods,2320,ALBABTAIN,11/11/2019,20/11/2019,08/12/2019,تحويل للحساب,0.5
Capital Goods,2360,SVCP,11/11/2020,30/11/2020,14/12/2020,تحويل للحساب,1
Capital Goods,2360,SVCP,22/12/2019,31/12/2019,08/01/2020,تحويل للحساب,1
Capital Goods,2360,SVCP,24/12/2017,31/12/2017,21/01/2018,تحويل للحساب,1.5
Capital Goods,2360,SVCP,25/09/2017,28/09/2017,19/10/2017,تحويل للحساب,1.5
Capital Goods,2360,SVCP,18/01/2017,31/01/2017,15/02/2017,تحويل للحساب,1
Capital Goods,2370,MESC,19/01/2010,22/03/2010,31/03/2010,تحويل للحساب,1
Capital Goods,2370,MESC,25/01/2009,31/03/2009,22/04/2009,تحويل للحساب,1.2
Capital Goods,2370,MESC,19/02/2008,16/07/2008,04/08/2008,تحويل للحساب,0.5
Capital Goods,4140,SIECO,10/01/2012,02/04/2012,22/04/2012,تحويل للحساب,0.5
Capital Goods,4140,SIECO,17/12/2008,23/03/2009,20/04/2009,تحويل للحساب,1
Capital Goods,4140,SIECO,11/02/2007,18/04/2007,09/05/2007,تحويل للحساب,1
Capital Goods,4140,SIECO,20/02/2005,05/04/2005,07/05/2005,استلام شخصي,5
Capital Goods,4140,SIECO,19/03/2004,25/04/2004,25/05/2004,استلام شخصي,2.5
Capital Goods,4141,ALOMRAN,10/05/2022,19/06/2022,29/06/2022,تحويل للحساب,0.75
Capital Goods,4142,RIYADH CABLES,12/03/2023,20/06/2023,13/07/2023,تحويل للحساب,1.5
Commercial & Professional Svc,1831,MAHARAH,07/03/2023,12/03/2023,22/03/2023,تحويل للحساب,1
Commercial & Professional Svc,1831,MAHARAH,30/08/2022,04/09/2022,14/09/2022,تحويل للحساب,1.25
Commercial & Professional Svc,1831,MAHARAH,13/03/2022,17/03/2022,29/03/2022,تحويل للحساب,2
Commercial & Professional Svc,1831,MAHARAH,17/08/2021,22/08/2021,02/09/2021,تحويل للحساب,1.75
Commercial & Professional Svc,1831,MAHARAH,17/03/2021,21/03/2021,05/04/2021,تحويل للحساب,2
Commercial & Professional Svc,1832,SADR,23/12/2020,27/04/2021,20/05/2021,تحويل للحساب,0.5
Commercial & Professional Svc,1832,SADR,21/11/2019,25/06/2020,16/07/2020,تحويل للحساب,0.5
Commercial & Professional Svc,1832,SADR,10/12/2018,09/05/2019,18/06/2019,تحويل للحساب,1.5
Commercial & Professional Svc,1832,SADR,28/12/2017,11/04/2018,29/04/2018,تحويل للحساب,1.5
Commercial & Professional Svc,4270,SPPC,10/02/2013,16/03/2013,13/04/2013,تحويل للحساب,0.5
Commercial & Professional Svc,4270,SPPC,05/02/2012,04/03/2012,25/03/2012,تحويل للحساب,0.5
Commercial & Professional Svc,4270,SPPC,15/02/2011,03/04/2011,01/05/2011,تحويل للحساب,0.5
Commercial & Professional Svc,4270,SPPC,11/01/2009,24/03/2009,14/04/2009,تحويل للحساب,1.5
Commercial & Professional Svc,4270,SPPC,18/02/2008,25/03/2008,22/04/2008,تحويل للحساب,1
Commercial & Professional Svc,6004,CATERING,02/08/2023,10/08/2023,31/08/2023,تحويل للحساب,1
Commercial & Professional Svc,6004,CATERING,23/03/2023,02/04/2023,30/04/2023,تحويل للحساب,0.5
Commercial & Professional Svc,6004,CATERING,18/02/2020,12/03/2020,27/10/2020,تحويل للحساب,1.4
Commercial & Professional Svc,6004,CATERING,06/11/2019,21/11/2019,11/12/2019,تحويل للحساب,1.5
Commercial & Professional Svc,6004,CATERING,07/08/2019,22/08/2019,12/09/2019,تحويل للحساب,1.35
Transportation,2190,SISCO,10/04/2023,30/04/2023,16/05/2023,تحويل للحساب,0.4
Transportation,2190,SISCO,11/08/2022,21/08/2022,08/09/2022,تحويل للحساب,0.4
Transportation,2190,SISCO,02/03/2022,10/03/2022,27/03/2022,تحويل للحساب,0.4
Transportation,2190,SISCO,12/08/2021,03/11/2021,23/11/2021,تحويل للحساب,0.4
Transportation,2190,SISCO,28/02/2021,05/05/2021,31/05/2021,تحويل للحساب,0.8
Transportation,4031,SGS,31/07/2019,06/08/2019,02/09/2019,تحويل للحساب,1
Transportation,4031,SGS,28/03/2019,24/04/2019,08/05/2019,تحويل للحساب,0.8
Transportation,4031,SGS,11/07/2018,18/07/2018,06/08/2018,تحويل للحساب,1.3
Transportation,4031,SGS,17/04/2018,27/05/2018,11/06/2018,تحويل للحساب,0.65
Transportation,4031,SGS,12/11/2017,20/11/2017,04/12/2017,تحويل للحساب,0.65
Transportation,4040,SAPTCO,29/01/2018,29/04/2018,13/05/2018,تحويل للحساب,0.5
